cve_ageb,ubica_geo,records,points,nse,est_socio
064-5,160530001,13365,105.80538940429688,C-,2.0
064-8,310500001,4815,97.5999984741211,D+,2.0
064-A,190180212,7963,169.52316284179688,C+,4.0
065-1,020010001,4485,90.33333587646484,D+,3.0
065-6,240350001,6152,111.75,C-,3.0
065-7,050250001,6100,83.4000015258789,D+,3.0
065-8,180150080,12988,83.4117660522461,D+,2.0
066-4,090110001,34088,88.08507537841797,D+,2.3916922
066-5,280030122,15948,88.96601104736328,D+,2.3064961
066-6,080370001,11535,94.92327880859375,D+,2.53316
066-7,090100001,26355,99.68244934082031,D+,3.0
066-9,170060001,5360,107.19999694824219,C-,2.0
067-0,150370071,27872,79.25,D,2.0
067-3,290330008,2435,109.5999984741211,C-,2.0
067-6,090120001,17030,87.80000305175781,D+,2.0
067-9,290050007,2440,79.19999694824219,D,2.0
067-A,320560001,3824,74.25,D,3.0
068-1,300870001,18820,185.0,C+,4.0
068-2,270020087,5680,73.5999984741211,D,1.0
068-3,070780001,27428,103.57178497314453,D+,2.418368
068-6,180170001,8060,113.99578094482422,C-,2.0
068-7,110370091,71734,69.23478698730469,D,2.0332897
068-A,020031625,11826,115.77777862548828,C-,2.0
069-2,090130001,55489,82.49016571044922,D+,2.0
069-3,080320001,9885,109.5999984741211,C-,3.0
069-4,020030883,10512,93.0,D+,2.0
069-5,110270001,11665,102.0,D+,2.0
069-6,100040001,17712,97.11111450195312,D+,2.0
069-7,090150001,34804,112.00442504882812,C-,3.0
069-8,280330291,39395,90.46622467041016,D+,2.0
069-A,050270001,22725,131.2604217529297,C,3.4622662
070-1,190330001,68485,86.24358367919922,D+,2.638753
070-3,320170001,4024,154.0,C,4.0
070-7,110200001,13550,136.8000030517578,C,3.0
070-8,030080198,5032,103.76470947265625,D+,2.0
070-9,130770001,6354,80.05587005615234,D+,2.0
071-0,141200001,10854,166.91929626464844,C+,3.3010871
071-4,090150001,12162,101.33333587646484,D+,3.0
071-5,161080001,14879,120.86692810058594,C-,3.3296592
071-7,170070001,7962,132.248046875,C,3.0
071-8,050180001,7410,96.0,D+,3.0
071-9,270040001,1410,100.4000015258789,D+,2.0
071-A,280090001,3238,152.0,C,3.0
072-1,170070001,3448,222.5,AB,4.0
072-2,150330001,31575,110.18647766113281,C-,2.9046714
072-7,050250001,10073,95.8664779663086,D+,2.8566465
072-8,040020001,10080,75.33611297607422,D,2.0
072-A,161080001,6189,88.66666412353516,D+,2.0
073-0,190260001,8288,100.25,D+,2.0
073-1,090070001,25305,105.80486297607422,C-,2.0
073-2,040020001,27345,123.7657699584961,C-,3.019967
073-3,070190001,35701,120.0526351928711,C-,2.0
073-4,100070001,5024,105.8761978149414,C-,2.6759553
